cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('嘴唇.0') 動物口部的外緣。 小白兔在一旁哈哈大笑，笑得<嘴唇>都裂開了。
cwn.Synset('角.6') 獸類頭上或鼻前長出的堅硬突出物，通常長而彎曲，前端較尖。 雄羌有短<角>，雌羌僅具骨質隆起。
cwn.Synset('降到.0') 減少到一定程度或數量。 冬季的芬蘭動輒氣溫<降到>零下20度左右，還真讓人受不了。
cwn.Synset('觀.2') 道教祭祀天地供奉神靈與舉行法事的場所。 當下這老道問聲施主有禮，便道：「施主，不知找此間<觀>主又何商議？」
cwn.Synset('嗤之以鼻.0') 對特定對象表示藐視。 林洋港為了權力，可以極力支持被三月學運<嗤之以鼻>的老國代，而置民主政治與台灣主權於不顧。
cwn.Synset('觸.1') 比喻行為超越或違反後述對象的限制。 研究者由於懍於現實環境的陰霾凜冽，易<觸>忌諱，招致困擾。
cwn.Synset('看懂.0') 了解。 在現行教育制度下，還有多少人有能力<看懂>經書？
cwn.Synset('抽象.0') 形容事物難以描述，無具體的細節。 他說的話太過<抽象>，我無法理解。
cwn.Synset('解.3') 比喻在感情上可以與特定對象分割。 男性總是把<解>不開的慾放在女性上。
cwn.Synset('解.8') 除去對特定對象的限制，使其恢復原本的狀態。 我之所以來到這裡，就是為了要尋找<解>咒的方法。
cwn.Synset('請教.0') 客氣地提出問題。 對了，我還沒<請教>您貴姓大名﹖
cwn.Synset('荒唐.0') 形容比喻特定對象不合常理。 也許是黨內同志抵制了這個<荒唐>的念頭，總之這個主意未得實現。
cwn.Synset('特性.0') 前述對象具有的獨特性質。 海島台灣的地理<特性>，向來亦為學界所注意，卻迄今尚未能深入探求。
cwn.Synset('人氣.3') 與人相關的氣氛。 夜裡的榕樹下，小食攤漾著一種溫馨的<人氣>。
cwn.Synset('減弱.0') 使特定對象的強度變小。 目前用人工方法<減弱>颱風的威力，或使它的行進方向改變，已經可以做到了。
cwn.Synset('弄得.0') 導致後述結果，通常是負面的。 它故意把它摔到地上去，或者是把棉被<弄得>很亂，有時候還把它丟到地上去。
cwn.Synset('天蠍座.1') 星座名，一長列亮星排成一個巨大的彎鉤，形狀像一隻拖著長尾巴的大蠍子。 你可以由織女星和<天蠍座>的心宿之間找到蛇夫座的頭部，接著再慢慢把其它的星星找出。
cwn.Synset('脹.0') 形容特定對象因填充物充足或內部壓力大而體積大。 他巨大的行李包很<脹>並且散發出一股醫院特有的消毒水的味道。
cwn.Synset('脹.2') 形容身體特定器官受到壓力而不舒服。 我老公這一年來常常到了下午就喊頭<脹><脹>痛痛的，也特別容易疲勞。
cwn.Synset('脹.3') 形容身體特定部位受到壓力而變得不舒服。 今天我給寶寶斷奶，一天了，我乳房<脹>得生疼，都快透不過氣了。
cwn.Synset('大盤.1') 直接向商品製造者購買商品並出售的批發商。 本網站全面<大盤>批發價，提供最時尚的化妝品。
cwn.Synset('出於.1') 造成前述對象的原因為。 我對山西的誤解完全是<出於>對歷史的無知。
cwn.Synset('手勢.0') 傳遞訊息的手部動作。 實際上我聽不懂日本話，卻能憑著他們的<手勢>及動作猜出一些大概。
cwn.Synset('脫.5') 除去特定物體中的後述成分。 「<脫>水容易<脫>脂難」，一堂儀器瘦身課程下來，輕是可能輕了0.5的水分。
cwn.Synset('脖.0') 比喻物體連接最頂端的部份。 老頭兒一聽傳叫，一愣，馬上把驢拴在門口大歪<脖>槐樹上，隨後進陽禹家大門。
cwn.Synset('進來.0') 事件以主事者或主事者所在的位置為終點發生。 當網路商店有訂單<進來>的時候，系統就會主動發出電子郵件通知。
cwn.Synset('改造.0') 對罪犯進行強制性的勞動，以達到管理者認可的目的。 王人美在文革期間被扣上「三十年代黑貓」的罪名，接受嚴厲的監督<改造>。
cwn.Synset('脆.3') 形容質地較硬的食物，容易咬碎弄裂。 油炸的夾心餅，又薄又<脆>，很合巴西人口味。
cwn.Synset('脂.0') 動植物體內的油質。 本產品無需藉由按摩器的費力推<脂>按摩，只要輕拭推抹即能立即吸收，毫不油膩。
cwn.Synset('博物院.0') 陳列、保存、研究對人類有價值物品的機構。 民國十四年，末代皇帝溥儀出宮，故宮<博物院>正式成立。
cwn.Synset('脊.0') 位於特定動物背部，具有支撐身體功能的骨骼結構。 許多重大<脊>病問題，早期都是以疼痛表現。
cwn.Synset('脈.5') 比喻以特定關係彼此連結的多個對象所構成的系統。 維護官位的「優良傳統」和今天中共黨官無法無天的貪污，是一<脈>相承的。
cwn.Synset('伊斯蘭教.0') 伊斯蘭教的文化。 各地有愈來愈多的穆士林青年展開了<伊斯蘭教>復興。
cwn.Synset('國語日報.1') 臺灣的一家報社，民國三十七年創刊，為推行國語教育及注音符號所設的報紙，是臺灣主要的兒童報紙。 只有東方出版社專為小孩子們出書，<國語日報>還是後來的事。
cwn.Synset('負面.0') 特定事件不好的一面。 很多的醫學報導指出，體重過重對人體健康所造成的<負面>影響很多，包括心血管疾病、糖尿病、關節炎、癌症、痛風等。
cwn.Synset('秒.2') 計算經緯度的單位，一秒為一分的六十分之一。 台灣南北延長跨緯度三度五二分二八<秒>，東西寬幅則跨經度二度四八分一二<秒>。
cwn.Synset('婚前.0') 結婚之前的時間。 他們<婚前>約好每年要出國大玩一次，因為旅行是他們共同的嗜好。
cwn.Synset('被迫.0') 遭受逼迫。 若再持續八十天不下雨，台北市民便將<被迫>面臨限量供水的不便。
cwn.Synset('翻譯成.0') 比喻把前述說法解釋成後述說法。 當你問他要不要一起吃飯而他的回答是:「隨便。」時，你可以把它<翻譯成>：「好，如果你請客的話」。
cwn.Synset('效命.0') 為特定對象完全投入去做。 因李亞明和華視還有合約關係，一時之間似乎無法為來電五十<效命>。
cwn.Synset('統一.5') 臺灣的企業集團之一，創辦人為吳修齊，目前董事長為高清愿。 在房租成本大幅揚升的情況下，<統一>超商的利潤愈來愈薄。
cwn.Synset('玻璃.0') 以石英或砂等為原料，質地硬且不透氣的透明物體。 窗<玻璃>濛濛地覆著一層水氣。
cwn.Synset('缸.2') 用來儲藏物品的容器，圓形、寬口、腹大、底小。 取沸水配製4~5%食鹽水，加少量花椒及酒調成泡菜水，置於泡菜<缸>內。
cwn.Synset('缺.2') 有義務到達特定地點履行該義務而沒有出現。 志工未完成書面請假且未於事後一週內告知者，以<缺>勤論。
cwn.Synset('缺.4') 物體表面有開口的不完整部份。 雜然斑駁的墨綠色夾褐色玉，輪廓甚圓整，邊緣有數處小傷<缺>。
cwn.Synset('何者.0') 指前述對象中不確定的其中之一。 就蝴蝶言，我們很難說出牠的愛好，更難以判斷<何者>對牠有好處。
cwn.Synset('照辦.0') 依照上級命令或已有的前例辦理。 上頭來文要在三個月內發包，鎮公所也只好<照辦>。
cwn.Synset('己身.0') 代指前述對象，強調非別人或別的事物。 官員們認為這非關<己身>業務，而將防災責任一概撇清。
cwn.Synset('辦法.0') 進行特定事件所應遵守的法則。 落實升等與續聘<辦法>是本院目前之既定政策。
cwn.Synset('搬.0') 將較重或較大的物體移到其他位置。 如果像我說的改法，做出來的古箏恐怕會重得<搬>不動了。
cwn.Synset('名將.0') 在競賽領域裡表現傑出的人。 遭到禁賽兩年處分的加拿大短跑<名將>強生，最近正為復出參加冬季室內田徑賽加緊準備。
cwn.Synset('名將.1') 為眾人所知有成就的將領。 清朝<名將>左宗棠曾平定新疆回亂，為國家收復廣大失土。
cwn.Synset('毫無.0') 表完全沒有。 只見她<毫無>表情，在一旁瞑目打坐。
cwn.Synset('全球性.0') 形容事件範圍涵蓋大部分的國家、區域。 網路是很<全球性>的東西。
cwn.Synset('全球性.1') 特定對象與其他國家、區域間的關連性。 現代性與傳統性、<全球性>與地方性彼此消長。
cwn.Synset('搶.1') 比喻前述對象到後述對象所建立或擁有的領域中競爭。 大環境裡充滿排華情緒，因為經濟不景氣，美國工人擔心華工<搶>他們的飯碗。
cwn.Synset('微生物.0') 泛指一切肉眼無法觀察清楚的細小生物。 造成疾病的各種細菌、原蟲和病毒都屬於<微生物>。
cwn.Synset('搏.0') 和後述對象進行肢體衝突，通常會扭打在一起。 金太宗身材魁梧，力大無比，能親手<搏>熊刺虎。
cwn.Synset('本身.0') 代指前述對象，強調非別的對象。 學術評鑑<本身>代表了一種權力。
cwn.Synset('搗.1') 用棒狀物的一端反覆撞擊特定物體，使其成粉狀或泥狀。 在點完餐後，我們姐妹倆一邊話家常，手也沒閒著的在<搗>芝麻。
cwn.Synset('搖.0') 使特定對象依固定路徑來回擺動。 濟公也不理會別人的哭笑，<搖>著芭蕉扇走了。
cwn.Synset('搖.6') 比喻開出中獎號碼或中獎名單。 演示共進行了3次，第一次開獎結果<搖>出5個正常球和3個加重球。
cwn.Synset('秋.3') 遊戲器材的一種。在高架上懸繫兩條等長的繩索或鐵鏈，下部橫接一塊平木板，人可站立或坐在板上，兩手握繩或鏈，利用身體力量前後搖盪。 小夥子溫存地轉著他的心上人，在<秋>上情意綿綿的；更多的是小孩，在<秋>上嚷著。
cwn.Synset('太陽.0') 人體重要穴道之一，位於眉骨和外眼角後的微凹部位。 晴雯自拿著一面靶鏡，貼在兩<太陽>上。
cwn.Synset('角秒.0') 計算角度的單位。一秒為一分的六十分之一。 4月初至金牛座，月底到雙子座，目視光度1.6等，視直徑4<角秒>。
cwn.Synset('權力.0') 可以執行控制、指揮或影響他人或事件發展的強制力量。 知識的目的是交談，如何說服對方，增加<權力>，提昇公信力。
cwn.Synset('人家.0') 家世背景。 窮<人家>的男子，留著妻妺過夜。
cwn.Synset('瓷.3') 用高嶺土為主要成份燒製成的材料，顏色白或偏黃，質硬而脆，比陶質細緻。 現代西方人也鮮少使用無釉陶壺，似乎由陶而<瓷>是理所當然的「進化」過程。
cwn.Synset('瓶.1') 有細頸的圓柱形容器，通常無把手。 我看見醬油<瓶>的商標紙上，有一個油字，那是我認識的。
cwn.Synset('俗辣.0') 形容人沒膽識的咒罵語。 王洨明說好要出面挺阿寶，結果現場卻不見人影，整個超<俗辣>。
cwn.Synset('命運.0') 比喻特定對象可預知或不能改變的發展變化。 台塑率先以跌停開出之後，即注定了昨日全盤皆墨的<命運>。
cwn.Synset('瓦.4') 計算功率的單位，每秒鐘做一焦耳的功，功率為一瓦特。 目前市售音效卡鮮少可達到四<瓦>以上輸出功率。
cwn.Synset('瓩.1') 計算功率的單位，一瓩等於一千瓦特。 施工處主任劉照雄說，北部地區目前仍然缺電400多萬<瓩>。
cwn.Synset('許多.0') 表前述特質的程度高。 目前在國內教英文的丹尼爾說，台北的萬聖節與國外相比相差<許多>。
cwn.Synset('事實.0') 事件的真實情況。 <事實>上，喬家大院真正的主人並不是過著影片中那種封閉生活。
cwn.Synset('衷心.0') 表出自於內心。 今天各位在百忙之中蒞臨我們的酒會，<衷心>的感到感謝。
cwn.Synset('四起.0') 前述事件到處發生。 來賓掌聲<四起>，慶賀這些鳥兒能夠超生。
cwn.Synset('解放.0') 1949年中國共產黨推翻國民黨政權。 <解放>二十多年了，這裡的人民依然如此貧困，我們問心有愧。
cwn.Synset('梁山伯.0') 中國民間傳說「梁山伯與祝英台」中的男主角。 民間故事<梁山伯>與祝英台終於要躍升戲曲舞台了。
cwn.Synset('隨地.0') 表不限於任何一處地面。 老包舉鄧小平為例，強調<隨地>吐痰乃中國人癌症末期以自大掩飾卑微的粗魯文化現象。
cwn.Synset('隨.5') 易經卦名，易經六十四卦之一，震下兌上。 <隨>卦為易經中的第十七卦。
cwn.Synset('隨.6') 表兩事件在時間上前後緊密連接，強調沒有固定的時空。 這個季節，金絲猴主要是採食樹皮、寄生在樹上的苔蘚、果實；<隨>吃<隨>扔，吃過就丟。
cwn.Synset('捷.0') 利用地面、地下或高架設施，不受其他地面交通干擾，使用專用動力車輛行駛於專用路線，並以密集班次、大量快速輸送都市及鄰近地區旅客的公共運輸系統。 55.8%民眾認為內<捷>中運量系統不適當。
cwn.Synset('險.1') 按期繳納費用給特定商業機構，該機構會對於特定原因所導致的損害負擔賠償財物的一種商業行為。 如果以CIF價成交，你們負責投保哪些<險>﹖。
cwn.Synset('捲.2') 比喻因為強大力量影響，無法自己控制而進入後述事件。 原諒別人就是善待自己，對事，對人，寬容，儘管吃虧，但吃虧是福嘛，至少不用<捲>在紛爭中，浪費掉美好的生活。
cwn.Synset('据.0') 形容沒有多餘可應用的金錢。 他生活窮<据>，四處顛沛流離，難道妥協一下是那麼困難的事嗎？
cwn.Synset('隱.0') 為使特定對象不被發覺而故意不表達。 君子不<隱>其短，不知則問，不能則學。
cwn.Synset('隴.1') 指隴山，位於寧夏、甘肅、陝西交界處的一座山，渭河與涇河的分水嶺。 齊併山東半島諸夷，晉併太行東西大河南北諸戎狄，秦併關中自<隴>以東諸戎。
cwn.Synset('捨.1') 數學運算時將數目較小的尾數忽略不計。 上浮后的票價尾數以元為計，四<捨>五進十。
cwn.Synset('輔仁大學.0') 輔仁大學的建築物及建築物所在的位置。 從逢甲要怎麼去<輔仁大學>？
cwn.Synset('捧.5') 比喻眾人同力維持後述對象的知名度或地位。 如果王建民有實力，不用<捧>他，他也會繼續在大聯盟立足。
cwn.Synset('捧.8') 計算物品以兩手掌心向上併合所持物品的單位。 好心的老婆婆給了他們兩<捧>米。
cwn.Synset('為敵.0') 與特定對象作對。 她原是那麼桀傲不馴，孤獨地公然與世<為敵>，一年多來我的誠心打動了她。
cwn.Synset('婚生.0') 形容在婚姻關係中出生的。 台灣的非<婚生>子女，身分權益未獲保障。
cwn.Synset('隆.4') 形容比喻特定事件狀態變得正面發展且熱烈的。 臥病在床的瓊西，天天數著窗外長春籐的葉子。冬日漸<隆>，葉子也一片片落下。
cwn.Synset('隆.9') 藉由整型手術使後述身體部位變高或變凸。 <隆>臀手術現在非常受到女性朋友的歡迎，因為她們希望讓自己的屁股看起來更加豐滿，而且相信愈大愈好。
cwn.Synset('隊.1') 成員具共同目標，個別分工的團體。 全場發生防守上七次嚴重的失誤，是該<隊>輸球的致命傷。
cwn.Synset('隋.0') 中國朝代名，西元581年至西元618年，隋文帝楊堅所建。 他發現那些壁畫都是北朝，<隋>唐，五代，兩宋時代的寶物，以前國人不注意的。
cwn.Synset('階.1') 地層年代分類單位的一種，在統之下，亞階之上。 地層可分為宇、界、系、統、<階>等，代表不同的地層年代。
cwn.Synset('階.2') 比喻特定事件變化或發展時依照時序或發展段落分成的多個段落的其中一部分。 中鋼推動四<階>擴建以增加股東權益為訴求。
cwn.Synset('捏.1') 比喻把原分開且異質的特定對象聚集結合在一起。 他竟然把完全相反的結論硬<捏>在一起。
cwn.Synset('捏.2') 用手將較軟的材料搓揉成特定物體或形狀。 將皮料<捏>成扁圓形，包入赤豆餡，再搓成橢圓形，就完成了。
cwn.Synset('隔.1') 人與人之間有溝通障礙、形成隔閡，或在心理情感上與他人疏遠。 他把自己與別人<隔>得遠遠的。
cwn.Synset('隙.4') 計算不容易找到或無法維持很久的特定事件的單位。 那千軍萬馬之中，那老人領著族中戰士為我留下了艱難的一<隙>生機。
cwn.Synset('障.0') 阻礙通行的物體。 設置沙<障>削弱風沙流活動強度，並阻擋部分外來流沙。
cwn.Synset('這麼一來.0') 表前述事件。 我常告訴女孩們，這方面的立場要十分堅持且直接，<這麼一來>就不會有狀況發生。
cwn.Synset('宏觀.0') 以較廣的觀察角度，對事物有較整體的觀察及理解。 具有強烈民族意識和歷史使命感，並極具全球戰略<宏觀>且以湔雪百年國恥，維護領土主權完整。
cwn.Synset('印度教.0') 印度的多神教，為變革的婆羅門教。 <印度教>信印死後火葬，人們將人或動物屍體在河岸邊火化後，撒入河中超生。
cwn.Synset('據稱.0') 表後述消息是根據他人的宣稱。 柏家也有一種<據稱>是得之同一祖師的奇藥。
cwn.Synset('鄭重.0') 表嚴肅認真。 陸光<鄭重>否認，表示一切都是誤解。
cwn.Synset('度.15') 計算電量的單位，一度等於一千瓦小時。 如果每<度>電漲價2.87分，則大約要多交15億元。
cwn.Synset('一心.0') 表有共同理念。 因為有這個危機，我們的軍民同胞團結<一心>，鞏固了我們的領導中心。
cwn.Synset('史前.0') 時間詞，有歷史記載以前的時間。 若從事<史前>時代的研究，就是<史前>考古學。
cwn.Synset('場所.0') 進行特定活動的地方。 藝妓係日本的特產物，也是江戶時代最盛行於娛樂<場所>的獻藝者。
cwn.Synset('府.0') 中國古代地方政府行政區域之一，在省之下、縣之上。 清廷經過一番爭論才將台灣納入中國版圖，翌年清政府設一<府>三縣，直轄於台廈兵備道之下。
cwn.Synset('府.2') 富有或有權勢的家族的住所，通常規模大且氣派。 離開蔣<府>回到隱廬，卻意外地見到了寧師姐的弟子李蘆。
cwn.Synset('也好.0') 表示雖然與說話者的原意不同，但是結果還可以同意，接受程度比「也罷」還高。 「先拿回去看，看明白了就不必印了。」「<也好>，星期一再還給你，謝謝。」
cwn.Synset('壯.0') 中國少數民族之一，為人口最多的一個民族。 <壯>是中國少數民族中人口最多的一個民族，是嶺南的土著民族。
cwn.Synset('壯.2') 古代指男子三十到四十歲的時期。 曲禮曰：「男子三十曰<壯>，有室。」
cwn.Synset('壬.0') 代指沒有指名的對象中的第九個。 籃球3人鬥牛賽，共有甲乙丙丁戊己庚辛<壬>癸10人參加，組成3隊。
cwn.Synset('士.1') 受過高等教育並從事腦力活動工作的人。 這些<士>，這些專家，後來居然教起學生來了。
cwn.Synset('辛苦.0') 表見面時對他人的慰問用語。 等先生回來時不要責備他，說聲︰「<辛苦>了！」
cwn.Synset('北平.0') 中華人民共和國的首都，古稱燕京，今稱北京，位於河北省西北部，永定河北岸的城市。 <北平>的農曆五月，則是火紅的五月。
cwn.Synset('壺.2') 計算以壺盛裝的液體的單位。 計老人道：「平時請也請你們不到。我去沖一<壺>茶。」
cwn.Synset('壹.1') 數目字。整數，最小的正整數。 王叔朋的研究，當時紅印花郵票面值有<壹>分、貳分、肆分、<壹>圓、伍圓五種。
cwn.Synset('畢業.0') 在比賽中犯規的次數達到特定規定，被判離場。 貝克漢英雄便狗熊領紅牌提早<畢業>。
cwn.Synset('壁.1') 管狀或容器狀生物組織與中空部位接觸的面。 膀胱主要功能是收集來自腎臟尿液，並將它從尿道排除，九成腫瘤是長在膀胱<壁>上的移形上皮細胞。
cwn.Synset('台灣.0') 東亞的海島，與中國大陸隔著臺灣海峽。 <台灣>西海岸的地下水質逐漸鹽化。
cwn.Synset('腸胃病.0') 腸胃等消化系統的疾病。 很多人說這個所謂的腸胃病是一種文明病，為什麼<腸胃病>是一種文明病呢？
cwn.Synset('壓.4') 詩詞歌賦中，特定句子的末字使用韻母相同或相近的字。 這首詩<壓>ㄤ韻。
cwn.Synset('日本.0') 國名，位於亞洲東北部的國家，主要由本州、四國、九州、北海道所組成。 <日本>的社會是講求輩分與階級的，非常盛行學閥門派。
cwn.Synset('言辭.0') 說話所用的詞彙或語句。 每當她想要表達，卻要找不到適當的<言辭>時，就會十分侷促緊張。
cwn.Synset('壞.1') 表達到最高程度，幾乎無法接受，帶有誇張語氣。 伍佰唱英文歌笑<壞>周華健。
cwn.Synset('香港.0') 位於廣東省珠江口東側，與九龍半島相對的島嶼。 一百六十年前，<香港>僅是一個荒涼貧瘠的小島，人口只有七萬。
cwn.Synset('那麼.0') 評價特定對象，表數量少或微小。 大連是有<那麼>幾個敗類球迷，懶得理他們！
cwn.Synset('店.0') 販賣商品或提供特定服務的地方。 這種鏤空方式，台灣金銀紙<店>至今仍然襲用。
cwn.Synset('因為.0') 連接原因或理由。 我知道她沒有看到我的淚水，<因為>它們和雨水消融在一起了。
cwn.Synset('早.3') 形容事件與預期要發生的時間還有相當的差距。 葡萄成熟還<早>得很哪，現在你上來幹什麼？
cwn.Synset('早.6') 形容在語境中共同認知的時間範圍內不屬於最後的時段。 天色還<早>，您多坐會兒吧！
cwn.Synset('史達林.0') 二十世紀蘇聯獨裁領導人。 他希望<史達林>元帥瞭解我國犧牲之重大。
cwn.Synset('探親.0') 專指從臺灣到中國大陸拜訪探望親戚的相關事件。 1987年10月15日行政院通過赴中國大陸<探親>辦法，於下月2日起受理登記，須先在紅十字會填表，每次停留不得超過三個月。
cwn.Synset('促成.0') 因前述事件推動而導致後述事件的達成。 平穩的房地產市場將是<促成>都會區形成的基礎。
cwn.Synset('廣場.3') 比喻為了意見交換而提供的可讓人發表意見的場地或空間。 王永慶與陳定南應華視新聞<廣場>之邀，為六輕是否應在宜蘭建廠進行對話。
cwn.Synset('每當.0') 引介事件必然發生的時間條件。 狗兒不知是嗅覺靈敏還是真的通靈，<每當>捕狗隊來院，這一群群的野狗，早已不知去向。
cwn.Synset('光電.0') 光學與電子學結合而成的技術。 第二次舉辦的國際<光電>大展中，就有332個攤位展出各種相關產品。
cwn.Synset('光電.1') 由光轉成電的能量。 為什麼要這麼費事作<光電>轉換呢？
cwn.Synset('畫成.0') 以筆或類似工具畫出後述圖像，強調動作的結果。 請將答案寫下來或<畫成>圖畫在11月28日以前寄給我們。
cwn.Synset('冰.3') 用冷凍設備降低前述對象的溫度，通常用來保持新鮮度。 打開冷凍櫃，一盒盒麻糬就<冰>在裡面，即使整個結凍還是Q到不行，尤其是這種招牌黑糖麻糬。
cwn.Synset('話說.0') 表引介或承接主題。 民俗學者郭立誠是林漢章唯一追隨過的老師。<話說>十年前林漢章大膽寫信「指正」郭立誠文章中的錯誤…。
cwn.Synset('冷.4') 形容比喻因不合邏輯的言語或行為而造成趣味的。 那些笑話在測量好笑程度的溫度計上，大概都很<冷>。
cwn.Synset('怎能.0') 以反詰的方式來表達後述事件不會成為事實或不是事實。 我的心病都醫不好了，<怎能>治身病？
cwn.Synset('冬.0') 一年四季中的第四季。 <冬>去春來後，它又長出新芽，一片翠綠，非常好看。
cwn.Synset('冠.8') 生長在禽類或其他動物頭上的顯著特徵，包括隆起的肉塊或片狀羽毛。 雄者有<冠>，尾長，身五彩具，其羽為翟，台產尾不踰尺。
cwn.Synset('冢.0') 墳的建築物及建築物所在的位置。 衛天麟已無暇再看地上情，一長身形，騰空而起，一挺腰身，已將身體平貼在<冢>頂上。
cwn.Synset('冤.0') 形容比喻遭受到不平對待的。 只是這麼點風流帳，就認定我不愛老婆小孩，實在太<冤>了。
cwn.Synset('細胞.0') 構造生物體的基本單位，由細胞核、細胞質和細胞膜所組成，有運動、繁殖、提供營養等功能。 美國方面研究，這些電工人員罹患一種星狀<細胞>腦瘤的比率是一般人的十倍。
cwn.Synset('無線.1') 指訊號不經有線傳輸的電視系統。 經過<無線>與有線合併，電視臺的數量雖然減少到約2000家。
cwn.Synset('隔岸.0') 表河的對岸。 『學西社區』，位於台南市安南區學東里，為台南市最北邊的行政區域，北臨曾文溪，與台南縣七股鄉<隔岸>相望。
cwn.Synset('再.2') 連接後述假設條件下，表事件情形將發展成後述狀態。 最近脾氣變得愈來愈爆燥了，<再>這樣下去我會得燥鬱症。
cwn.Synset('那些.1') 離說話者或參考點較遠的多個對象。 生命裡<那些>高峰經驗，往往是美與美、具體與抽象相撞擊的結果。
cwn.Synset('沉浸.0') 物體放在液體中。 沉水性這類植物完全<沉浸>在水中，沒有水上形態，它們多生長在水較深的地方，根長在土裡，葉片通常呈線形、帶狀或絲狀。
cwn.Synset('同樣.0') 表所描述的對象屬於同一類。 雖然<同樣>是Ｏ型天蠍座的人，因人而異<同樣>會出現某種程度的差別。
cwn.Synset('屏.0') 位於臺灣南部，介於臺南縣、高雄縣、台東縣之間的地區。 行政院農業委員會邀集高、<屏>兩縣相關單位人員開會討論這項議案。
cwn.Synset('屏.3') 直立式的片狀家具，具有分隔、遮蔽或美化的功能。 固定鏤空隔<屏>來區隔玄關與餐廳。
cwn.Synset('載.5') 比喻以前述對象作為表達後述對象的媒介。 文以<載>道，即修辭明道，意思是以文章來說明道理。
cwn.Synset('載.7') 計算時間的單位，一載有十二個月。 凡飛禽走獸、山水人物、字畫等，製作之精細，為千<載>稀有之作。
cwn.Synset('較.1') 表與其他同類對象做對照比較時，程度上高一點。 一般乳齒蛀得嚴重的兒童，身體都會<較>瘦小。
cwn.Synset('輝.1') 閃耀的光芒。 箔金完成的塔尖日月輪及摩尼寶石，在日光照應下，熠熠生<輝>。
cwn.Synset('驚奇.0') 使人感到意外而讚嘆的事物。 西班牙迎來首位平民王妃，王儲婚禮創造世界<驚奇>。
cwn.Synset('輛.0') 計算有輪子的機械裝置的單位。 台北市小汽車，每年成長量約五萬<輛>。
cwn.Synset('輕.7') 形容造成或影響的後果比較不嚴重的。 我常會不知該如何和別人相處，話說出來是<輕>或重，也很難判斷。
cwn.Synset('難忘.0') 印象深刻，不容易忘記。 陳祥麟細訴城隍廟的故事告別<難忘>出巡後回廟中升堂儀式可惜今已不復見。
cwn.Synset('節目.1') 用各種表演呈現出的項目。 有些電視<節目>的主持人講的話太粗俗、沒什麼意思。
cwn.Synset('空調.0') 使室內空氣保持適當溫度、溼度的一種處理方式。 我在悶熱的新加坡碼頭上了快艇，船艙內涼涼的<空調>催人欲眠，不小心打了個盹。
cwn.Synset('輯.1') 收錄資料後整理成特定書籍或刊物。 在《女兒紅》一書中，著者將其<輯>而為三，分別是死亡的血色、溫暖的母性之紅、火鶴紅的振翅高飛三方面。
cwn.Synset('記號.0') 用作標示的符號。 1.學生在筆記本上做了一個<記號>，提醒自己這堂課的重點。
cwn.Synset('輪.5') 裝在物體上的圓形人造物，其功能為協助運動或傳動。 這種飛機的<輪>距太窄，在平地起降都頗為困難，更別說在顛簸的航空母艦上了。
cwn.Synset('輩.1') 宗族關係中所有與其始祖的距離相同的人所組成的團體。 他平時和只懂國語或臺語的兒孫<輩>很難溝通。
cwn.Synset('基督.0') 基督教徒所信奉的救世主。 曼帖那：這是一幅前縮法來表現透視的作品。<基督>的腳掌顯然地縮小許多。
cwn.Synset('切身.0') 形容與自身關係密切的。 全民健保與每個人<切身>相關。
cwn.Synset('輸.0') 將貨品外銷給後述國家。 台灣<輸>美、日市場佔有率節節敗退。
cwn.Synset('速度.0') 比喻特定事件進行的快慢的程度。 有線電視在臺灣發展的<速度>，堪稱是另一項臺灣奇蹟。
cwn.Synset('面積.0') 物體的表面或平面圖形在二度空間所佔有的大小。 我國竹的種類有三百餘種，竹林<面積>約五千餘萬畝，主要分布在長江流域。
cwn.Synset('規則.0') 形容特定對象的形狀、結構符合特定標準模式。 傳統的液晶顯示模組是<規則>的方形，因為方形是最簡單、最有效和通用的形狀。
cwn.Synset('乃兄.1') 代指前述對象的哥哥。 孫權初時名望並不如乃父<乃兄>，所依賴者唯前朝老臣。
cwn.Synset('傻瓜.0') 指人能力不足。含有貶意。 看看那個<傻瓜>，連橘子和柳丁都分不出來，真可憐。
cwn.Synset('相當於.0') 前述對象幾乎等同於的對象是後述對象。 二千多年前，齊威王號稱為王，其實只<相當於>當今一名省級幹部。
cwn.Synset('搖擺.0') 囂張。 那時候手機還不流行，掛個call機就很<搖擺>了。
cwn.Synset('羅.0') 器具的一種，用來過濾液體或篩細粉末的密孔篩子。 將米磨粉製糕的方法是，將糯米粉用絹<羅>篩過後，加水、蜜和成硬一點的麵團，將棗和栗子等貼在粉團上，用箬葉裹起蒸熟即成。
cwn.Synset('硬體.0') 建築物及其內部的實體設備。 校方還要求商家配有一定的<硬體>設施，如每家店都必須有三段式洗碗機。
cwn.Synset('貶低.0') 刻意降低對人事物的評價。 這個美食評論家因為和主廚有過節，就故意<貶低>他的料理。
cwn.Synset('必然.0') 表對推論的肯定，沒有例外。 一個彬彬有禮的人，<必然>處處受人歡迎。
cwn.Synset('聲浪.0') 一陣陣傳來的聲音。 狂歡節已近尾聲，喧鬧的<聲浪>逐漸低沉。
cwn.Synset('仿照.0') 依照已有的方式去做。 頤和園後山的街是建在後溪河兩岸，<仿照>蘇州水城的水上小街。
