所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
撥 用手或腳將球往特定方向施力，使球移動。 到下半場五十七分鐘，反被陸光的陳貴人於右邊四十碼吊球，再由沈財富在球門前輕<撥>入門，而以零比一落後。
按 用手指壓奏樂器以產生音符。 他打開重重的琴蓋，在琴鍵上用力一<按>。
撥 用手指或手持工具快速撥動琴弦演奏。 見到她腦海種浮現的總是那種彈古箏，<撥>豎琴，含蓄靦腆的回眸一笑百媚生的畫面。
指 用手指或手持細長工具對著後述對象。 唐．李白．陌上贈美人詩：「遙<指>紅樓是妾家。」
彈 用手指或手指所戴的器具在弦樂器或鍵盤樂器上演奏音樂。 點是曾參的父親，<彈>瑟的技巧不錯。
摸 用手指辨識牌面。 接觸到牌面之後，姆指輕輕一<摸>即能「很快」而「準確」地知道是什麼牌。
攬 用手掌及手臂圈住特定對象使靠近自己。 舊夢已遠，淚，瞬間湧上。我<攬>一<攬>女兒：「走吧！我們去看阿公。」
撥 用手掌或手持工具對特定對象施力，使其往左或往右移動。 窗戶竟虛掩著，輕輕一<撥>就大開了。
撥 用手掌或手持工具對特定對象施力，使其輕微移動。 拿樹枝<撥>泡沫，竟然有隻小蟲在裡面，而且每個泡泡裡都有。
扒 用手掌或手持工具對特定物件施力，使其往左或往右移動。 她彎著腰在垃圾中尋找，手迫不及待地把垃圾往旁邊<扒>，直到小臂伸進了在垃圾堆上掏出的洞裡。
打 用手提舉後述照明器具照明。 母親和家裡的人<打>著燈籠來尋找。
尻槍 用手撫弄自己生殖器，達到性高潮。 他的習慣是在睡前<尻槍>。
掐 用手的虎口用力壓住。 單明亮一直蹲在地上，用手<掐>著傷口止血。
扒 用手緊抓住特定對象。 手伸上去<扒>窗臺時，他覺出自己細長的手指觸到一件硬物，中指和食指有些刺痛感。
環 用手臂圈住特定對象。 一個男人站在他的身前用利刃捅進他的肚子那男人一手<環>至他的後背出力再將他的身體往刀刃推進喔。
摸 用手輕觸後述對象。 丘子章<摸>著她的頭髮，她髮質很軟，滑不溜手，有一種淡淡的茉莉香味。
扶 用手靠後述對象，使自己不倒下。 天保等待中差點<扶>著那張鏽跡斑斕的鐵犁睡去。
掐 用拇指和其他手指夾住特定物體的一部份，並使其與母體分離。 路過花園，劉牛隨手<掐>了一朵玫瑰花。
拖 用拖把或抹布清潔地板。 一位平常在家什麼活都不做的小學生，一天突然主動<拖>起地來。
摳 用指甲、爪子或類似的工具去除物體表面的物質。 耳中有異物時，寶寶可能會因不舒服而猛<摳>耳朵。
搔 用指頭、爪子或類似的工具在身體特定部位表面的小範圍內輕輕地重複劃。 媽媽用一根蘆葦草在豪豪的鼻孔處<搔>了<搔>。
挖 用挖的方式清潔耳、鼻等器官。 很多經常流鼻血的小朋友，就是有<挖>鼻孔的習慣，使基塞巴克區受傷而引起的。
替代 用新的事項換舊的事項，暫時達到舊的事項的功用。 在深沈痛楚中，熱情消失、浪漫不再，<替代>出現的是冷峻理性而平實的「亡命日記圖」。
覽 用於介紹特定對象的印刷品的名稱。 大會將出版「Internet服務與產品總<覽>」。
樓 用於以前述功能為主的特定營業場所的名稱。 王功有一家經營六十多年的海鮮<樓>，服務好、產品新鮮，價格又公道。
座 用於十二星座名。 你是O型的，那你是什麼<座>的？
彩 用於參加者付費選取號碼並與隨機抽出號碼核對已決定是否中獎的活動名稱。 今<彩>539是一種樂透型遊戲，您必須從01~39的號碼中任選5個號碼進行投注。
兮 用於句中或句末，表示感嘆的語氣。 乍看題目〈扛〉，我最初想到了「力拔山<兮>氣蓋世」的楚霸王「力能扛鼎」。
兮 用於句中或句末，表示贊嘆、肯定的語氣。 彼其之子，邦之彥<兮>。
也 用於句中，表示停頓語氣。 論語．先進：「柴<也>愚，參<也>魯。」
夫 用於句末，表示感嘆或疑問。 論語．子罕：子在川上曰：逝者如斯<夫>，不舍晝夜。
堂 用於商店名稱。 百年老店的大陸中藥店同仁<堂>將渡海來台設店面。
地中海 用於地中海附近人們群聚的地區的名稱。 以前看過一篇文章，說是有一個英國人住在<地中海>，很想回到英國。
鋪 用於地名，多為中國古代的驛站。 他們今晚必須趕到驛館去歇宿，驛館在十里<鋪>，十里<鋪>是個小鎮的名字。
丸 用於大型船隻的名稱。 釧路海上保安部的消息說，二六零噸的壽和<丸>(船員十人)船體一部份損傷。
敝 用於對聽話者指稱和自己相關的事物。 <敝>社社員們雖然不才，也不敢因循怠惰。
島 用於島嶼的名稱。 美國新英格蘭目前正在維護婆羅洲<島>上的熱帶雨林。
嶼 用於嶼的名稱。 在廈門的五天，我上了三次鼓浪<嶼>。
堂 用於幫派分支的名稱。 竹聯幫「虎<堂>」不斷擴大勢力，並涉多起暴力恐嚇、圍標等非法活動。
稱 用於引述第三者的說話內容。 她說出了心中的推測，蘇魯克等呆了一陣，齊聲<稱>是。
殺 用於提振士氣的提醒語。 刺槍術前兩式為：第一式：原地突刺，<殺>！第二式：前進突刺，<殺>！
皮包 用於攜帶隨身物品的服飾配件。 大部份的女人下了班回到家，<皮包>一丟，跑進去廚房就工作了。
堂 用於教會名稱。 傳播協會與台北聖家<堂>傳協會及各善會至台北深坑舉行"踏青共融"活動。
座 用於星座名。 秋季四邊形基本上是飛馬<座>的身體部分，由四顆二至三等的星星構成。
堂 用於標示同姓宗族發源地的堂號。 三合院正廳大門前，都刻著某某<堂>或某某衍派，兩旁也會刻著對聯。
橋 用於橋及其周遭區域的名稱。 本網提供關渡大<橋>旅遊介紹，並有關渡大<橋>飯店、關渡大<橋>住宿、淡水飯店與台北飯店等資訊。
套 用於河流或山勢轉折彎曲的地方的名稱。 河<套>自古以來就是一個多民族聚居區，是北方民族繁衍生息的地方。
藥品 用於治療疾病的物質。 這項<藥品>對胎兒可能會造成傷害，孕婦服用前應先經醫師診斷。
所 用於特定機構的名稱。 澎湖出土的陶瓷標本，送往上海考古科技<所>做材料測試，與大陸各窯口陶瓷做比較。
苗 用於畜牧養殖的幼小、尚未發育成熟的動物。 蟹<苗>體色有深有淺，個體有大有小。
廟 用於祭祀祖宗的建築。 蓋聞明王制禮，立親<廟>四，祖宗之<廟>，萬世不毀，所以明尊祖敬宗，著親親也。
廟 用於祭祀祖宗的建築物及建築物所在的位置。 初一早上，家<廟>裡外張燈結彩，還要請出傳家之寶《陶家行樂圖》等名貴藏品讓眾人欣賞。
分 用於紀錄成績或競賽結果的數目。 臺大法律系今年第一類組是最高<分>。
窯 用於製造出產磚、瓦、陶瓷器物的工廠名稱。 安達<窯>的青瓷，溫潤青翠的質感，透過光線投射，在堅實中更顯晶瑩剔透。
武 用於軍事活動或戰爭的器具。 目前動員戡亂時期雖然終止，但對岸的大陸政權仍有可能趁隙犯<武>。
院 用於較大型特定機構的名稱。 讀者來文由<院>內同仁自由投稿，內容不限，字數八百字內。
公路 用於連接各個城市或國家間的主要道路的名稱。 自約翰尼斯堡出發走N4<公路>的旅客，最方便的入口是梅勒蘭和克魯格門。
吹 用會產生風的電器去除後述身體部位或物品上的多餘水份或氣味。 千辛萬苦洗好了澡，我換上乾淨的衣服，到房間<吹>頭髮去了。
戳 用條狀物的一端壓特定物體。 舊書相當脆弱，禁不起折、<戳>，或沾口水等傷害性的動作。
攏 用梳子或手整理毛髮。 <攏>了<攏>一頭翻飛的髮絲，女子刻意將帽沿壓的更低。
梳 用梳子整理毛髮。 組長樂得把一頭白髮<梳>得又油又亮，老王花了半個月的薪水去做了一套西裝。
棒 用棒子敲打。 loose<棒>3次，tight<棒>2次，靜置使略沉澱後，吸出上層萃取液於50公撮離心管。
搗 用棒狀物的一端反覆撞擊特定物體，使其成粉狀或泥狀。 在點完餐後，我們姐妹倆一邊話家常，手也沒閒著的在<搗>芝麻。
框 用標誌或圖案將特定對象的邊界標示出來。 人物說話的內容最好用引號<框>出來。
擦 用橡皮擦或類似工具去除錯誤或不需要的文字或圖案。 在圖層0上草稿，圖層1描線，描完線即可輕鬆<擦>除圖層0的草稿線了。
驅使 用權力要求他人替自己做事。 很多徒弟徒孫都願意供他<驅使>，尤其是受過他恩惠的人，更勇於為他效死賣命。
革命 用武力推翻原本的政權或政治制度的事件。 辛亥<革命>的啟蒙者們重新點燃漢人對清人的仇恨。
便宜 用比預期低的價錢所完成的交易買賣。 確實執行計劃性消費，才能撿到更多的<便宜>。
毯 用毛或其他類似材料製成可用來保暖的紡織品，通常較厚。 這<毯>實在好溫暖。
書 用毛筆寫字。 回唐山後，張信東即廣備紙墨，大<書>特<書>，日寫幾十副，專供大江南北之畫廊，以此上奉父母，下養妻兒，竟收入日豐，一發而不可收拾。
打成 用毛線編織物品，強調動作的結果。 我想讓她們在聖誕節時可以戴著過節，兩個小朋友，兩頂毛線精靈帽。她們還問我為什麼會<打成>像小精靈的可愛帽子？
漂 用水沖洗以去除污垢雜質。 衣服上沾了鐵漬後，可用2%的草酸溶液在50℃左右溫水中洗滌除去，然後用清水<漂>淨。
磨 用沾有特定藥水的纖維物摩擦金屬鏡面，使其恢復光亮，可以反射影像。 他經常背著<磨>鏡的箱子在吳地的集市中游走，沿街吆喝，<磨>一面鏡收一文錢。
啃 用牙齒一點一點地咬質地較硬的物體。 Jolin力行瘦身，拍照當天更只<啃>蘋果和吃過水的滷味。
嚙 用牙齒啃咬後述對象。 白芳華狠狠<嚙>了他的耳珠，道："人家什麼都不理了，立即要嫁你呢。"
咬 用牙齒將後述對象固定或撕開。 林昭良<咬>了一口桃子便吞下去。
墊 用特定對象填補特定事件進行中的一段空缺。 盼不到iPhone的各位，要不要先拿LG來<墊>？
磨 用特定工具將指甲修成固定形狀，並使甲面變亮。 說到拋光指甲，剛開始的動機是好玩，沒想到後來<磨>出心得。
撈 用特定工具將沈沒在水中的物體取出。 在沉船水域，十幾艘漁船正一字排開用滾鉤在江底滾<撈>失蹤船員。
削 用特定手段大量賺取特定對象的金錢。 熟女裝嫩<削>凱子，判拘留25天。
織 用特定方式將條狀物製成後述物品。 他說：「這是阿曼<織>的，一張給老的，一張給小的。」
固定 用特定方式將物體安置在特定地點，使其穩固不移動。 她需要兩枚釘子來<固定>這幅畫。
釋 用特定方式降低液體的濃度。 飲用梅精<釋>液前及飲用30天之後，各做抽血檢驗，即可獲得明證。
偶 用特定材料製成的動物形狀的物品。 想訂製貓<偶>的朋友歡迎來信討論喔！
線 用特定材質製成，可隨意彎曲的細長物。 靠你一個人織，一針一<線>地要織多少年啊！
埋 用特定物體覆蓋其他特定物體，使其被掩蓋。 這本書描寫了海盜在海上每天的生活，及如何搶奪商船、<埋>寶藏。
燙 用特製的藥水和工具在適當的溫度下使毛髮彎曲或變直的髮型。 咕嘰麻就特地寫了一篇說明，說說這個玉米鬚<燙>造型是怎麼來的。
針灸 用特製的金屬針或燃燒的艾絨，刺激經脈穴道以治療疾病的一種中醫療法。 嗯，所以很多反對<針灸>的人，嗯，他可能完全一筆抹殺說他沒有，沒有什麼用。
犁 用犁翻動土壤。 人的生命繫於糧食，為什麼會任其爛在田地裡，甚至<犁>掉、燒掉呢？
耕 用犁翻土以種植特定對象。 明天，你先將屋東邊的地慢慢地<耕>著，我一早就得到主人家去。
氈 用獸毛或其他類似材料壓製成的可做墊子或鞋帽的毛織品。 假設我害怕的事發生了，不要說被和<氈>，連找條毛巾也沒有。
閱 用看的方式檢驗特定對象。 複查由原<閱>卷人員複<閱>，考卷一律不對外公佈。
看看 用眼睛察覺，但限於不經意或時間短暫。 欸欸欸，你<看看>，這我們的存款簿，怎麼好幾個月都沒存錢進去了？
丟 用眼神傳送訊息。 他一個<丟>眉弄眼，即使人神魂蕩漾。
桿 用短棍來回碾麵團或黏土，使其變平、變薄。 <桿>皮是有技巧的，方法不對會耗費很多力氣和時間。
石器 用石材製成的器具。 出土的石製品可以復原完整的<石器>生產過程。
塗 用立可白或類似工具覆蓋錯誤或不需要的文字或圖案。 我一開始選了1~2間，結果<塗>答案改成2~3間了。
棚 用竹、木或其他類似材質搭建成的簡陋的小房子，通常沒有四面的牆。 <棚>上數不清的瓜，好像比賽似的搶著長大。
排 用竹子、木頭或其他類似材質編成的大型片狀水上交通工具。 泳客在這木<排>上學習跳躍入水的姿勢。
籤 用竹子或木材製成的尖細條狀物。 蛋糕在烘烤過程中以木<籤>插入試驗，不沾黏材料即表示蛋糕已熟。
點 用筆劃上。 另一信給孫夫人，在右角上下都<點>了個記號。
扒 用筷子或湯匙將飯菜撥入嘴裡。 我默默地<扒>晚飯，時不時地瞥幾眼電視機，這有點像球場上即將獲勝的球員，通過詐傷來拖延時間。
糕點 用米、麥或豆類磨粉，加水、蛋或牛奶等製作成的點心。 這間咖啡廳提供現磨咖啡和多種精緻<糕點>，是饕客的最愛。
抽 用細長物打。 他揮馬鞭在白馬臀上一<抽>，雙足一撐，身子已離馬鞍。
挑 用細長的工具撥動後述對象。 他對著陰影中的那個人望，同時用棍子<挑><挑>火堆讓火更旺一些。
探 用細長的工具觸碰特定對象以獲取所需的訊息。 幾名中年人搶著回答：我們上午用長竹竿<探>過了，敲擊時有金屬聲，車肯定在下面。
捲 用細長的物品將後述對象纏繞。 瞬間棠月蟬用鞭子<捲>起地上的藥丸瓶子擲向戚衍寒。
網 用網子捕捉。 漁翁在溪邊打魚，把它<網>了起來，拿著它高聲叫賣。
閂 用繩子等細長物將特定物體固定在其他物體上。 是可以把腳踏車停在這，不過，要用鍊子<閂>著就是。
網 用繩線編織交錯有固定空隙，用來捕捉動物的工具。 船上漁民們指出，該海豚是因貪吃烏魚而誤入<網>中，並不是故意捕獲。
耙 用耙子整理土地或將物體分散、聚集在一起。 農夫把曬在地上的大豆<耙>攏。
露 用花、果實、藥材等天然材料萃取而成高濃度的材料。 藥<露>是用蒸餾的方式，把中藥蒸餾成<露>，作用如現今的芳香療法。
庵 用茅草編成的圓頂小屋。 他一生不與金錢結緣，住草<庵>、以乞食為生。
燭 用蠟和油脂製成的可燃燒發光的物體，通常為長條圓柱形。 小女生在大學主修中國文學，對「更持紅<燭>賞殘花」的境界，異常神往。
蠟 用蠟和油脂製成的可點燃發光的物體，通常為長條圓柱形。 夜半醒來紅<蠟>短，一枝寒淚作珊瑚。
示意 用表情或動作來傳達訊息。 只見梁老師站起來向聽眾<示意>，並從容換琴。幸好有備用琴。
哄 用言語使特定對象相信主事者要其相信的事。 若是自己買張假文憑回去<哄>人，豈非也成了騙子？
置 用言語傳達對特定事件的態度。 布希將不對蘇聯這項提議<置>評。
哄 用言語或其他方法使特定對象心情好。 把摔倒的他扶起來之後，他還是哭個不停，不管怎麼<哄>都<哄>不住。
表達出來 用言語或行為傳達出特定情感或態度。 當你看完一部好電影，是否有一股衝動想把你的想法<表達出來>，與人討論呢？
表達給 用言語或行為把情感或態度傳達到後述對象。 他還要透過樂團，才能把最終的表演產物-音樂-<表達給>聽眾。
表明 用言語或行為明確傳達情感或態度。 接待的主管在<表明>身分靜心聆聽來龍去脈後，首先表達出謝意與歉意。
談 用語言交換訊息。 如何掌握，讓你孩子跟你無話不<談>？
談 用語言溝通的訊息。 清談原僅是具體的人物批評，既非虛玄之<談>，和老莊自無關係，故在初期清談與清議可以互稱。
釣 用連結著鉤子的竿子或長線捕捉水中生物。 我耐心的等了一會兒，真的<釣>了許多魚，高興得不得了。
勸告 用道理開導他人，使對方避免錯誤。 她在告別贈言中<勸告>學生：「不要過分追求金錢和權勢」。
醉 用酒精使後述對象喪失部份或全部的知覺。 酒會<醉>人，書能醒人。
宴 用酒食招待客人。 晚上，老闆家裡<宴>了三桌客人，忙得團團轉。
描 用金、銀粉或其他類似材料，在器物上做出線條圖案等裝飾。 他用明亮的色彩加上<描>金，把中國人物與建築按器型誇張地拉長四散，展現了設計者的巧思。
鋸 用金屬製成，兩端有尖齒，用以切割木材或其他較硬材質的薄長形工具。 剪刀、斧<鋸>，要陳列在兒童不易拿到的地方。
釘 用釘或針穿過物體來固定物品或是將原來沒有連在一起的物品連接起來。 收了衣服，我就<釘>扣子。
訂 用釘書機或類似工具將紙張固定在一起。 把十幾年的樂訊<訂>在一起，可以出好幾本書了。
縫合 用針線把分開的布料、皮料或身體上的開口接合。 投手握球的正確方法是隨著球的品質、利用球的<縫合>處而變換手指的位置來投球的。
鋸 用鋸子切割。 他又到樹叢裡，<鋸>了一把形如ㄚ字形的樹枝。
鋼筋 用鋼料製成的細長條，支持建築結構用的材料。 房屋的建造，除了需要水泥、石子、<鋼筋>外，還需要你們小沙子的幫忙哩！
鎖 用鎖使門窗或其他物品不能被開啟。 媽媽可能還沒有回來。我們回去也沒有用，門被<鎖>著進不去啊！
閂 用閂使門無法開啟。 她一直到躲進外婆房內，見四下無人，這才<閂>了門，拆開那紙。
蛋糕 用雞蛋、麵粉、糖、和其他材料製成的糕點。 1.下午茶時間吃塊<蛋糕>，喝杯飲料，真是最舒服的享受。2.這間糕點店的乳酪<蛋糕>非常有名，每天可以賣出上千個。
香 用香料製成的燃燒時會散發香味的物品。 香的種類非常多，在宗教上用途也很廣，一般來說有立<香>、臥<香>、檀粉等。
瓷 用高嶺土為主要成份燒製成的材料，顏色白或偏黃，質硬而脆，比陶質細緻。 現代西方人也鮮少使用無釉陶壺，似乎由陶而<瓷>是理所當然的「進化」過程。
擦 用麵團抹過平底鐵板製作後述薄皮。 <擦>餅皮是用高筋麵粉處理後，在圓圓的鐵盤上烙製。
聞 用鼻子接收氣味。 我有點擔心，鼻子慢慢地湊近瓶口，一<聞>之下，出乎意料的，竟是一種蜜棗的香味。
隴 田中分界處略微高起的長條部份。 雲和山的倒影，靜靜地躺在注滿了水的田<隴>裡。
畝 田中高起的地方。 析言之，壟上叫<畝>，壟中叫畎，即田中壟溝。
疊 由下往上堆放的物體。 我猜想她手裡拿著的那<疊>是關於我的資料。
機組 由不同的機器組成的一組設備。 今年四月臺中火力電廠四部<機組>同時跳機。
暖 由中央管理機構所提供的暖氣服務。 烏魯木齊市近100個小時的斷電缺<暖>問題，總算告一段落了。
簡 由中華人民共和國於西元1956年頒布的標準中文字體，由傳統字體簡化而成的。 首先要解決的問題是，如何做到線上<簡>繁互換，讓大陸網友能夠使用他們熟悉的使用環境。
社會 由人以外的動物所組成類似人類社會的集合體。 卡爾是一位相當積極又熱心的動物學者，尤其對螞蟻<社會>情有獨鍾。
造 由人工製造出特定自然物或自然景觀。 持續69天亢旱，市長求助省主席，請求空軍<造>雨。
人造物 由人工製造的，非自然產生的物品。 只要是人工製作，不屬於自然天成的物品，我們都可以歸類為<人造物>。
民主 由人民或人民選出的代表參與政治、治理國家的政治制度。 解嚴之後，台灣已義無反顧的走上<民主>道路。
數 由他人安排，自己無法掌控的結果。 各項指標每況愈下，中央銀行會不會調降銀行存款準備率，也是未定之<數>。
釋 由佛教教義發展出的思想流派。 胡派學說講的是天人革命，詩禮中國；儒<釋>兼備，卻又透露嫵媚嬌婉之氣。
光電 由光轉成電的能量。 為什麼要這麼費事作<光電>轉換呢？
部 由內閣閣員主管，具有固定功能的政府單位。 一位<部>的高級官員認為，電信局無法因應變局。
驗證 由具有公信力的機構檢驗後所給予的資格。 取得<驗證>後，始准進入取用資源!
役 由具有權力的機構所指派的勞動工作。 馬后說：「贖罪罰<役>，國家至恩。但疲囚加<役>，恐仍不免死亡。」
仙 由凡人修練而成的具有人的形象，能長生不老，有特殊能力的靈性存在物。 吸毒不會快樂似<仙>。
等於 由前述事件可推得後述結論。 找不到鐵礦不<等於>煉不成鋼。
說明 由前述現象明顯得到後述推論。 這些動物的存在<說明>了這片山水正在發揮各項生物功能，保存本島豐富的生物基因庫。
分派 由原來的組織所分出的不同派系。 禪宗之南北<分派>，早在「南能北秀」之前即已存在。
涎 由口腔黏膜與唾腺分泌液混合而成的黏液。 燕窩是破壞鳥巢後取其鳥<涎>。
延長 由另一對象擴增或延續而產生的對象。 外交是內政的<延長>。
產 由各個經濟事業體所形成的抽象範圍。 這些資訊對<產>、官、學界都十分重要。
線 由同一緯度或經度的點連結起來的假想線。 緯度0°是赤道<線>，緯度23.5°是回歸<線>，緯度66.5°則是極圈。
天殺的 由咒罵人的話語轉為指稱咒罵的對象。 到底是哪個<天殺的>，竟然如此破壞公物！
穴 由四周地脈、山勢、水流等構成，能決定吉凶福禍的地方，通常為房屋或墳墓座落之地。 香港地處中國南隅，面積雖小，但堪輿學上，卻是南龍結<穴>之地，所以名<穴>棋布。
框 由固定形狀的邊界所圍成的空間。 請在以下提供的方<框>內畫出它的結構。
外資 由國外企業投入的資金。 <外資>對台灣資本市場、房地產興趣仍高，不受凱雷併日月光破局之累。
斗 由圓心向外旋繞的多個圓圈。 劍鳴是十個<斗>狀指紋，這種指紋是比較罕見的。
分組 由團體分出的小單位。 ING安泰人壽參加資格：凡身心健康，對跑步有興趣者，皆可報名參加競賽<分組>。
外傳 由外界得到的未經證實的消息。 如果真如<外傳>能向特定人士求取億餘元的賠償，漲勢仍可持續。
系 由多個相關聯的個體集合而成的有系統的整體。 原始山林有自成一<系>的生態圈，他不只是野生動物的溫暖家園，更是自然災害的絕佳屏障。
山 由大量前述物體堆積而成的像山的集合體。 朋友高興的下耶誕公車拿汽球，準備爬糖果<山>囉！
學運 由學生發起對主政者的大型抗爭行動。 單就<學運>的組織、運作而言，三月學運算是為跨校性的大規模學生運動。
交 由弦樂、木管、銅管、打擊樂器組成的大規模器樂演奏團體。 每次南市<交>音樂會都會將上半場舞台與優秀獨奏家分享。
遞給 由手將物品當面交給後述對象。 尼奧懶得跟他囉唆，把貝珍的來信<遞給>他。
集合 由抽象且地位相同的不同數學元素所組成的整體。 簡諧震盪子的能譜構成一組具有相同間距的離散<集合>。
行政區 由政府在國土上劃定能夠行使政治行為的區塊。 目前台灣的<行政區>已經劃分出五個直轄市。
碼 由數字構成的，代表特定對象的系統。 中華電信統計發現，約仍有七成民眾不習慣使用新<碼>。
電話 由數字構成，代表特定電話線路的系統。 我的<電話>是三二一三三一四，平常晚上九點以後，我會在家。
慘遭 由於特定對象而嚴重遭到不幸。 受害人在交接班時刻，<慘遭>未依規定減速的國光號班車撞及。
形 由旋律節奏等音樂成分構成的音樂形式。 民歌旋律在音調上求簡潔、旋法上求明快、節奏上求暢達、音色上求直亮，凡此種種，乃其曲<形>共宗之基調。
併發症 由某病所引起的附帶病症。 老人糖尿病的治療，必先知道其特殊的<併發症>為何？
公訴 由檢查官代表國家提起的訴訟。 黃金燦涉嫌恐嚇張德榮、陳哲崇案，檢察官認定有恐嚇事實，昨天提起<公訴>。
讀 由測量的工具取得數據。 可自行設定固定時間週期<讀>錶。
焦 由煙煤碳化而成的灰色燃料。 一貫作業煉鋼廠主要操作包括燒結、煉<焦>、煉鐵、煉鋼及軋鋼等製程。
害 由特定事件造成或引發後述結果。 ∥欣宜，以後千萬別這樣了，<害>得我和媽擔心極了。∥
統 由特定事物間彼此連續關係組成的系統。 乾嘉時期，清儒有一種普遍的學<統>重建的意向。
讀 由特定儲存裝置下取得資料。 Dos下無法<讀>光碟檔案。
民主 由特定團體成員共同參與決定事務的制度。 他覺得滿腹才華被忽視，結果決定追求<民主>換公司。
精 由特定對象修練而成的具有人的形象的靈性存在物，通常為動植物。 開什麼玩笑，不會是石頭成<精>了吧﹖我越看越詭異。
分出 由特定對象區別出後述結果。 你能<分出>哪一部分是這記號的、而哪一部分又是另一個記號的嗎？
基金會 由特定對象捐贈資金，為特定公益目的成立的非營利法人機構。 人本<基金會>的教育諮詢專線和教育遊說團全由義工主導。
部 由特定對象領導的軍隊。 是年八月，武漢撤守，率<部>由湘入黔，駐防於都勻獨山之間。
石 由礦物組成的堅硬物質。 忽然一聲轟響，五百米長的大壩土崩<石>塌。
律 由立法機關制定，有強制效力的行為規範。 在專制時代，這個罪名按<律>當死。
種子網路 由經濟部科技專案計畫主導，結合產官學界架構而成的資訊網路，等同於英文的seednet。 國內除了臺灣學術網路，資策會的<種子網路>、電信局的「網際資訊網路」也都可以連接網際網路。
分班 由總校中分出來的班級。 教育局表示，設<分班>或分校學習環境窄化，學習效果可能會打折。
屁 由肛門排出的氣體。 這令人覺得尷尬的氣味，是人體所放出的「<屁>」。
族 由血統或婚姻關係所構成的群體。 三<族>指父<族>、母<族>、妻<族>，即父、母、妻三方的親屬。
釘 由金屬或其他材質作成，為尖頭細長形，用來貫穿物體，使結合牢固的物品。 本公司有能力供應高質量的不銹鋼<釘>，並且價格合理。
雨 由雲層中落到地面的水。 苦瓜不好養，得包紙保護，空心菜遇<雨>長的特快，但排水得良好。
下來 由高處向接近參考點的低處移動。 『阿明，快帶弟妹們<下來>，準備洗澡了！』姊姊的叫聲把我拉回現實。
下去 由高處向離開參考點的低處移動。 九點多鐘的時候，郵差送來了一封掛號信。他叫我拿圖章<下去>取信。
奴 男女對地位較高者說話時的自稱。 老<奴>自以為看穿了皇上的心思，結果在太后這事上算是失算了。
煞到 男女間產生強烈吸引力。 小蘭穿旗袍的好身材<煞到>了剛當兵回來的大哥。
訂 男女雙方決定婚事。 他雖然現在二十七歲，早<訂>過婚，卻沒有戀愛訓練。
妾 男子在婚姻關係中，除妻子以外另取娶的女子。 魏武子有一個寵幸的小<妾>，可惜沒有生子。
兄弟 男子對他人說話時的自謙之詞。 依<兄弟>之愚見，還是少做傷天害理之事為妙。
冠 男子成年。 他認為，既<冠>矣，就必須責以成人之事，否則就成了虛禮。
漢 男子的通稱。 一丈多高的褐色花崗岩石如倔拗的啞<漢>，默然而立。
女人 男子的配偶或接近配偶關係的女性伴侶。 阿忠只是員工，較沒錢，最後他<女人>跑了。
娶 男子結婚。 只要<娶>家財萬貫的千金，就可以少奮鬥十年。
男女 男子與女子。 凡是可疑的對象，不論<男女>都要詳細追查。
男生 男學生。 該校<男生>素以健美、高智商而著稱。
屌 男性生殖器。 有人說台北101看起來像是一根巨<屌>。
少爺 男性空服員。 黎明為了香港「公益金」慈善單位所主辦的活動下海客串空中<少爺>。
官人 男性聽話者。 船家是個四十來歲的中年人，聽到薛奕叫喚，連忙答應了，走過來問道：「<官人>，不知有什吩咐？」
少爺 男服務生，工作場地常是聲色場所。 陽光販賣部有親切的公關小姐、公關<少爺>為您服務。
落 留下後述對象讓他人取得。 行思禪師的禪風，往往直透入底，鞭辟入裡，而又不<落>痕跡。
留念 留作紀念。 許多人老遠上台北一趟，就是為了和梁院長合照<留念>。
稍後 略晚於特定時間參考點或事件的一段時間。 活動結束的<稍後>，希望在賣家討論區有興趣的會員可以來參加。
圈 畫圈做記號。 請你把跟格子前方相同的注音符號<圈>起來。
筆觸 畫面上所呈現的風格。 新古典主義時期古典<筆觸>的重現，回歸於對古希臘三度空間雕像的再重現。
合力 當一個力的作用效果和兩個力的作用效果相同時，這個力叫做另兩個力的合力。 牛頓第二定律為質點加速度的大小與所受<合力>的大小成正比,與質點自身的質量成反比。
宋 當代台灣政治人物，曾任台灣省省長(1993-1998)、親民黨黨主席(2000～)。 陳總統說完，要求台下的支持者用鼓掌向連<宋>表示敬意，現場立即響起熱烈的掌聲。
日人 當代的一般人。 <日人>所熟悉的格言有足於衣食即知禮節，這格言出於春秋時代的管子的「倉廩實則知禮節，衣食足知榮辱」一句。
謝 當代臺灣政治人物。曾任高雄市市長(1998-2005)、中華民國行政院長(2005-2006)。 民進黨四大天王呂游蘇<謝>，究竟誰才是真正挺阿扁？
扁 當代臺灣政治人物，曾任中華民國總統(2000-2008)。 繼友連會、<扁>友會之後，宋楚瑜之友會也已成立，三雄交鋒的局面正式展開。
郝 當代臺灣政治人物，曾任環保署署長(2001)、臺北市市長(2006)。 環保署長<郝>亦於同日召開臨時記者會，提出建議公投法草案增列限制性條款的說帖。
馬 當代臺灣政治人物，曾任臺北市市長(1998-2006)、中華民國總統(2008年起)。 議員鄧家基等人痛批高雄市長謝長廷「逢<馬>必反」。
