e04 , 形容極度不悅。
藻 , 普通名詞。隱花植物的一類，沒有根、莖、葉的區分，大多生長在水裡或潮濕的陸地上。常用接尾詞。
藻類 , 普通名詞。隱花植物的一類，沒有根、莖、葉的區分，大多生長在水裡或潮濕的陸地上。
蘇 , 地方詞。中國城市名，位於江蘇省，在太湖東岸。「蘇州」的簡省。
蘇 , 地方詞。中國省名，位於長江下游，在黃海、東海、山東、浙江、河南之間的區域。「江蘇省」的簡稱。
蘇 , 地方詞。國名，包括現在的俄羅斯、烏克蘭等共和國，已於西元1991年解體。「蘇維埃社會主義共和國聯邦」的縮寫。
蘇 , 地方詞。臺灣地名，宜蘭縣內的一個鎮，以蘇澳港著名。「蘇澳」的簡省。
蘇 , 專有名詞。北宋文學家，名軾，字子瞻，號東坡居士。「蘇東坡」的縮寫。
蘇 , 專有名詞。外文名字。
蘇 , 專有名詞。姓。
蘇 , 專有名詞。治理蘇聯的政府。「蘇維埃社會主義共和國聯邦」的縮寫。
蘇 , 專有名詞。蘇東坡的作品。
蘇州 , 地方詞。中國城市名，位於江蘇省，在太湖東岸。
蘇州 , 普通名詞。蘇州的文化。
蘇 , 普通名詞。江蘇的文化。
蘇 , 普通名詞。蘇州的文化。
蘇東坡 , 專有名詞。北宋文學家，名軾，字子瞻，號東坡居士。
蘇東坡 , 專有名詞。蘇東坡的作品。
蘇格蘭 , 地方詞。英國大不列顛島三部份之一，位於英格蘭島北部，西元1707年合併於英格蘭。
蘇格蘭 , 普通名詞。蘇格蘭的文化。
蘇武 , 專有名詞。西漢使臣，出使匈奴，被匈奴扣留十九年到北海牧羊仍不降服，因其節操留名，字子卿。
蘇澳 , 地方詞。臺灣地名，宜蘭縣內的一個鎮，以蘇澳港著名。
蘇澳鎮 , 地方詞。臺灣地名，宜蘭縣內的一個鎮，以蘇澳港著名。
蘇聯 , 地方詞。國名，包括現在的俄羅斯、烏克蘭等共和國，已於西元1991年解體。「蘇維埃社會主義共和國聯邦」的縮寫。
蘇聯 , 專有名詞。治理蘇聯的政府。「蘇維埃社會主義共和國聯邦」的縮寫。
蘇聯 , 普通名詞。蘇聯的文化。「蘇維埃社會主義共和國聯邦」的縮寫。
蘊含 , 前述對象本身有後述成分存在。
蘊含 , 比喻具有後述意義或情感。
蘋果電腦 , 總部位於美國加利福尼亞庫比蒂諾的公司，核心業務是電子科技產品。
蘭 , 地方詞。中國城市名，甘肅省的省會。「蘭州」的簡省。
蘭 , 地方詞。臺灣地名，位於臺灣東北部，介於臺北縣和花蓮縣之間的地區。「宜蘭」的簡省。
蘭 , 專有名詞。姓。
蘭嶼 , 地方詞。鄉名，隸屬臺東縣，臺灣的離島之一。
蘭嶼 , 普通名詞。蘭嶼的文化。
蘭 , 普通名詞。多年生常綠草本開花植物，通常葉長而尖，種類很多。常用接尾詞。
蘭 , 普通名詞。麻將中的牌面，為四種花牌之一。
蘭花 , 多年生常綠草本開花植物，通常葉長而尖，種類很多。
虎 , 專有名詞。姓。
虎 , 專有名詞。臺灣職棒球隊之一(1990-1999)，由三商企業所資助。「三商虎」的簡省。
虎 , 普通名詞。中國十二生肖之一，排在第三位。
虎 , 普通名詞。哺乳類動物，全身黃褐色，具黑色條紋，性凶猛。常用接尾詞。
虎 , 普通名詞。接尾詞。以虎為形象製成的人造物。
虎 , 普通名詞。比喻前述對象像虎一樣的特定正面特質。常與「龍」連用。
虎 , 普通名詞。生肖屬虎的人。
虐 , 以殘忍的行為對待。
虐 , 形容殘忍的。
虐待 , 以殘忍的行為對待。
處 , 以特定態度對待。
處在 , 位於後述狀態。
處在 , 位置在後述地點。
處 , 地方詞。機關中的組織單位。常用接尾詞。
處 , 地方詞。特定對象所在的地方。
處 , 存在於特定的時間或空間。
處 , 採取行動以解決特定事件。
處於 , 位於後述狀態。
處於 , 位置在後述地點。
處 , 普通名詞。比喻特定的抽象地方。
處 , 法院對定罪對象做出特定處罰。
處理 , 使動物失去生命。
處理 , 採取行動以解決特定事件。
處 , 與人互動。
處處 , 位置詞。每個地方。
處處 , 形容存在範圍內的每個地方。
處 , 計算部位、地點的單位。
虛 , 專有名詞。中國天文學的星宿，為北方玄武之一。
虛 , 形容不符合客觀事實而捏造的，通常有欺騙的意圖。
虛 , 形容事物不具有實體概念的。
虛 , 形容因為不踏實而感覺不安。
虛 , 形容特定對象內容不豐富。
虛 , 形容特定空間或位置是空的，可供使用。
虛 , 形容結構不緊實，有許多空隙。
虛 , 形容體力或身體狀況差的。
虛情假意 , 表現出虛偽情意。
虛 , 表故意做特定動作以誤導他人。
虛 , 表沒有獲得預期效果的。
虛 , 表特定動作或狀態不完全。
虜 , 以暴力、威脅的手段取得後述原來不屬於自己的財物。
虜 , 挾持特定對象。
虜 , 普通名詞。在戰爭中抓到的敵人。常用接尾詞。
虜 , 普通名詞。舊時對外國或異族的稱呼。
虞 , 地方詞。舜祖先的封地，在今山西省平陸縣。
虞 , 專有名詞。姓。
虞 , 普通名詞。擔心的事件。
號召 , 召集群眾共同去做後述事件。
號召 , 普通名詞。用來吸引群眾的訴求。
號 , 專有名詞。接尾詞。交通工具所使用的名稱。
號 , 普通名詞。中國古代文人在本名之外另取的名字。
號 , 普通名詞。依序所定的號碼。
號 , 普通名詞。接尾詞。專門從事前述行業的商店。
號 , 普通名詞。接尾詞。標示尺寸的編號。
號 , 普通名詞。接尾詞。標示編號。
號 , 普通名詞。生意的種類，強調其特殊性。
號 , 準量詞。人物的種類，強調其特殊性。
號碼 , 具有標記功能的一組阿拉伯數字。
號稱 , 無客觀證據，誇張的宣稱的內容是後述對象。
號稱 , 用以著稱的名號是後述對象。
號 , 計算編過號的人事物的單位。
虧 , 以言語來嘲弄後述對象。
虧 , 形容比喻個人權益有損失。
虧 , 形容眼睛所看到的月亮外形有缺口不呈圓形。
虧 , 形容經濟活動中支出多於收入的。
虧 , 普通名詞。比喻個人權益的損失。常用「吃...虧」。
虧 , 經濟活動中損失後述金錢。
虧 , 諷刺後述對象的行為不符合後述條件帶來的預期。
虧 , 關聯連接詞。連接解決事件的原因或理由。
虫 , 普通名詞。接尾詞。輕蔑他人的言語。
虫 , 普通名詞。昆蟲和蠕蟲類的小動物的通稱。常用接尾詞。
虱 , 普通名詞。寄生在動物上的小型昆蟲，以吸食動物血液維生。常用接尾詞。
蚊 , 普通名詞。身體細長會飛的一種昆蟲，雌性吸人畜的血液，能傳播疾病。常用接尾詞。
蚤 , 普通名詞。隱翅目昆蟲的總稱，頭小體肥，無翅，腳上有棘刺，善跳躍，寄生於人畜身上，以吸食血液為生。常用接尾詞。
蛀 , 形容牙齒遭到細菌腐蝕的。
蛀 , 形容被蟲蟻等昆蟲啃咬破壞的。
蛀 , 牙齒遭到細菌腐蝕而形成空洞或疼痛。
蛀 , 蟲、蟻等昆蟲啃咬破壞特定對象。
蛇 , 形容形狀像蛇的。
蛇 , 普通名詞。中國十二生肖之一，排在第六位。
蛇 , 普通名詞。接尾詞。以蛇為形象製成的人造物。
蛇 , 普通名詞。爬行動物，身體圓而細長，有鱗但沒有四肢。常用接尾詞。
蛇 , 普通名詞。生肖屬蛇的人。　
蛋 , 專有名詞。姓。
蛋 , 形容形狀像蛋的。
蛋 , 普通名詞。接尾詞。以蛋為形象製成的人造物。
蛋 , 普通名詞。睪丸。
蛋 , 普通名詞。鳥類和爬蟲類所生帶有硬殼的卵。常用接尾詞。
蛋白質 , 形容特定對象健康、純真、個性好。
蛋白質 , 形容特定對象具有笨蛋、白癡以及神經質的特質。
蛋白質 , 普通名詞。一種由多種氨基酸組成的高分子聚合物，是構成生物體的最重要部分，可促進成長與維持健康。
蛋糕 , 用雞蛋、麵粉、糖、和其他材料製成的糕點。
蛙 , 普通名詞。以蛙式進行的游泳比賽。常用接尾詞。
蛙 , 普通名詞。兩棲類動物，頭寬扁、闊嘴、大眼，表皮光滑，足有蹼。常用接尾詞。
蛙 , 普通名詞。接尾詞。以蛙為形象製成的人造物。
蛙 , 普通名詞。模仿青蛙在水中動作的游泳方式。常用接尾詞。
蛹 , 普通名詞。完全變態的昆蟲由幼蟲變為成蟲的一個過渡階段，內部組織和外型發生變化，形成棗核狀。常用接尾詞。
蜀 , 地方詞。中國省名，位於湖北、西藏之間的區域。「四川省」的簡稱。
蜀 , 專有名詞。三國之一，西元221年至西元264年，劉備所建。
蜀 , 專有名詞。五代十國之一，西元907年至西元925年，王建所建。
蜀 , 專有名詞。五代十國之一，西元934年至西元965年，孟知祥所建。
蜀 , 普通名詞。四川的文化。
蜂 , 普通名詞。昆蟲綱膜翅目蜂類的通稱，會飛，多有毒刺，能螫人，常群聚在一起生活。常用接尾詞。
蜂 , 表大批的同類特定對象集中到同一地點，通常是人。
蜘蛛 , 普通名詞。節肢動物門蜘蛛綱蜘蛛目，腳四對，肛門尖端的突狀物可分泌黏液，黏液在空氣中凝結成細絲，用來結網捕食昆蟲。
蜿蜒 , 形容彎曲延伸的樣子，多用於河流、道路。
蜿蜒 , 形容蛇類行走的樣子。
蝦 , 普通名詞。以蝦為形象製成的人造物。
蝦 , 普通名詞。水生節肢動物，頭部有長、短觸鬚各一對，腹部狹長分為數個環節。常用接尾詞。
蝴蝶 , 普通名詞。以蝴蝶為形象製成的人造物。
蝴蝶 , 普通名詞。昆蟲綱鱗翅目，體形小，四翅大，多彩色且種類多，觸角呈棒狀或錘狀，會吸食花蜜，並傳播花粉。
蝶 , 普通名詞。以蝶式進行的游泳比賽。常用接尾詞。
蝶 , 普通名詞。以蝶為形象製成的人造物。常用接尾詞。
蝶 , 普通名詞。昆蟲綱鱗翅目，體形小，四翅大，多彩色且種類多，觸角呈棒狀或錘狀，會吸食花蜜，並傳播花粉。常用接尾詞。
蝶 , 普通名詞。模仿蝴蝶動作的游泳方式。常用接尾詞。
融 , 借貸特定金錢以周轉。
融 , 固體因溫度升高而化為液體或半固體，通常用於冰、雪。
融 , 專有名詞。姓。
融 , 專有名詞。東漢建安七子之一，字文舉。「孔融」的縮寫。
融 , 比喻使兩個以上的特定對象結合成為一個和諧的整體。
融 , 比喻完全適應後述對象並能與之配合。
螢 , 普通名詞。腹部有發光器官，能發出燐光的昆蟲。常用接尾詞。
螺旋 , 普通名詞。具有螺旋狀排列的細胞。
螺旋 , 普通名詞。具有螺旋紋溝槽的圓柱體，為機械設備的部件。
螺旋 , 普通名詞。具有螺旋結構的星系，星系的中心區域為透鏡狀，從隆起的核球兩端延伸出數條螺線狀旋臂，疊加在星系盤上。
螺旋 , 普通名詞。形容螺殼的旋紋，連續環形旋轉而上的形狀。
螺旋 , 普通名詞。應用在機器設備上的螺旋部件。
螺絲 , 普通名詞。具有螺旋紋溝槽的圓柱體，為機械設備的部件。
螺絲 , 普通名詞。即「吃螺絲」，在公開場合說話時不流利，如唸錯字，或稿子、劇本、歌詞背不熟等。
蟲 , 專有名詞。姓。
蟲 , 普通名詞。接尾詞。輕蔑他人的言語。
蟲 , 普通名詞。昆蟲和蠕蟲類的小動物的通稱。常用接尾詞。
蟳 , 普通名詞。甲殼綱十足目梭子蟹科，頭胸甲橫卵圓形，表面隆起，足上各節背、腹緣均具有剛毛。常用接尾詞。
蟹 , 普通名詞。接尾詞。以蟹為形象製成的人造物。
蟹 , 普通名詞。節肢動物，全身有甲殼，五對足，橫著走。常用接尾詞。
蠔 , 普通名詞。雙殼綱牡蠣科，動物產於淺海中，肉味鮮美，營養豐富。常用接尾詞。
蠟 , 形容像蠟一樣，呈黃色的。
蠟 , 普通名詞。動、植物或礦物質所產生的油脂，通常被用來防水。常用接尾詞。
蠟 , 普通名詞。用蠟和油脂製成的可點燃發光的物體，通常為長條圓柱形。
蠢 , 形容使用特定對象的技巧不佳的。
蠢 , 形容對可理解的事未能及時反應。
蠢 , 形容智能較低或理解力較差的。
蠢 , 形容特定對象看起來缺乏活力或創新。
蠢 , 形容肢體動作不協調的。
蠢 , 形容較差的、不能最快達到目的的，通常用於方法。　
蠢蠢欲動 , 形容忍不住要動，多帶有負面的涵義。
蠱 , 專有名詞。易經卦名，易經六十四卦之一，巽下艮上。
蠱 , 普通名詞。以操縱毒蟲，並以詛咒害人的一種巫術。
蠱 , 普通名詞。巫術中用來實行詛咒的毒蟲。
蠱 , 普通名詞。比喻受到特定對象的控制而失去自主性的事件。
蠻 , 專有名詞。中國古代對南方民族的通稱。
蠻 , 形容只靠力量，不講道理。
蠻 , 形容文化落後未開化。
蠻 , 形容發自動物本能的大力氣。
蠻 , 表依自己的意思做下去，不顧後果，特別是對他人的影響。
蠻 , 表接近最高程度，不要把話講滿的委婉說法。
血 , 專有名詞。姓。
血 , 形容顏色為紅的，像血一樣的。
血 , 普通名詞。動物體內循環系統中負責輸送養分、代謝廢物的液體，以脊椎動物的紅色血液為典型。
血 , 普通名詞。女子在月經期間由子宮所排出的血。
血 , 普通名詞。比喻血統。
血管 , 普通名詞。血液在全身循環時所經過的管狀組織。
行事 , 依特定的規定或準則進行事件。
行 , 代動詞。做，取代整個事件。
行 , 以兩腿交互向前移動，雙腳不同時離開地面。
行 , 以肢體的動作表示敬意。
行 , 依照特定方法實際施行特定事件。
行動 , 形容不用固定在特定地點也可發揮功能的。
行動 , 普通名詞。具體表現出的外在舉止動作。
行動 , 身體特定部位進行應有的動作。
行動 , 進行特定事件。
行 , 同輩親屬依照年紀排列的次序為。
行 , 專有名詞。姓。
行 , 形容具備完成特定事件能力的。
行 , 形容具有令人佩服的性質的。
行 , 形容表示同意或允許。
行政區 , 由政府在國土上劃定能夠行使政治行為的區塊。
行政院 , 地方詞。行政院的建築物及建築物所在的位置。
行政院 , 專有名詞。臺灣中央政府五院之一，為全國最高的行政機關。
行 , 普通名詞。一種書法字體，介於楷書與草書之間，特色為筆法流暢活潑。
行 , 普通名詞。人類社會的重要活動之ㄧ，與交通相關的一切活動。
行 , 普通名詞。具體表現出的外在舉止動作。
行 , 普通名詞。前往特定地點參觀或訪問的活動。
行 , 普通名詞。品行。
行 , 普通名詞。在社會中所擔任的職務，通常為其身份認定的依據。
行 , 普通名詞。接尾詞。一種樂府和古詩的體裁。
行 , 普通名詞。接尾詞。專門從事前述行業的商店。
行 , 普通名詞。文字書寫或排版時的單位，在同一方向書寫或排版到轉變方向前為止為一行。
行 , 普通名詞。與行進方向或垂直方向相同的一直線。
行業 , 普通名詞。在社會中所擔任的職務，通常為其身份認定的依據。
行 , 比喻交通工具移動。
行為 , 普通名詞。具體表現出的外在舉止動作。
行禮 , 以肢體的動作表示敬意。
行禮 , 依照特定規範進行儀式。
行 , 計算一起行動的人群的單位。
行 , 計算文字書寫或排版時的單位，在同一方向書寫或排版到轉變方向前為止為一行。
行 , 計算職業的單位。
行 , 計算與行進方向或垂直方向相同的一直線的單位。
行 , 進行特定的儀式。
行銷 , 事件名詞。商業行為中的廣告發行與銷售。
行銷 , 進行商業行為中的廣告發行與銷售。
行駛 , 交通工具移動。
術 , 專有名詞。姓。
術 , 普通名詞。人類在生產或勞動過程中所累積的經驗和知識。
術 , 普通名詞。做事的步驟或技巧。
術 , 普通名詞。接尾詞。經由訓練後所得到的專業能力。
街 , 專有名詞。接尾詞。通常用於小型道路的名稱。
街 , 普通名詞。供人車通行的地方。
街 , 普通名詞。接尾詞。聚集在同一條道路上的同類商店的集合體。
街頭 , 地方詞。供人車通行的地方的空間範圍內。
街頭 , 形容在街上進行的。
衛 , 地方詞。周朝諸侯國國名，在今河北、河南一帶。
衛 , 專有名詞。周朝諸侯國之一，在今河北、河南一帶。
衛 , 專有名詞。姓。
衛 , 普通名詞。乾淨而有利於維持健康的狀態。「衛生」的簡省。
衛 , 普通名詞。住家房屋內供人上廁所、洗澡等的房間。
衛 , 普通名詞。住家房屋內供人上廁所、洗澡等的設施。
衛 , 普通名詞。古代設在邊境，駐兵以禦敵的軍事區域。
衛 , 普通名詞。接尾詞。擔任保護特定對象工作的人。
衛 , 普通名詞。接尾詞。球類運動中，負責特定防守位置的球員。
衛生 , 形容乾淨而有利於維持健康的。
衛生 , 普通名詞。乾淨而有利於維持健康的狀態。
衛 , 維持後述對象的完整性，使其不受損害。
衝 , 引介事件的目標。
衝 , 引介動作的方向。
衝 , 引介動作的目標。
衝 , 形容個性直接，脾氣急躁不好的。
衝 , 形容味道濃烈使人感到不舒服的。
衝擊 , 以大力道撞擊。
衝擊 , 比喻主動對敵人進行武力行動。
衝擊 , 比喻具有強烈影響力的特定事件對特定對象造成強烈影響。
衝 , 普通名詞。天體與太陽各在地球的兩側且三者連成一線的現象。
衝 , 比喻提升特定對象的數量或程度。
衝 , 比喻數值快速達到後述標準。
衝 , 比喻激昂地從事後述事件。
衝 , 為達到特定目標而努力。
衝 , 特定對象快速地往後述空間移動。
衡量 , 以標準檢測後述對象。
衣 , 專有名詞。姓。
衣 , 普通名詞。人類社會的重要活動之一，與穿著相關的一切活動。常用接尾詞。
衣 , 普通名詞。比喻包裹在物體表面的部份。常用接尾詞。
衣 , 普通名詞。覆蓋在植物體表面的有機組織。常用接尾詞。
衣 , 普通名詞。通指用來穿在身上，有遮蔽身體或禦寒功能的製品。
衣 , 普通名詞。附著於地面、岩石或樹皮上生長的隱花植物。常用接尾詞。
衣服 , 普通名詞。用來穿在身上，有遮蔽身體或禦寒功能的製品。
表 , 事物象徵或傳達特定意義。
表 , 公開說出負面的意見或評論。常用於否定句。
表 , 向君主呈上奏章。
表 , 向君主呈上奏章推舉的人是後述對象。
表 , 將字畫裝飾成可以懸掛或展示的樣子。
表 , 專有名詞。姓。
表徵 , 以具體方式表達抽象概念。
表徵 , 普通名詞。表達抽象概念的具體方式。
表態 , 將立場公開表明。
表態 , 普通名詞。公開表明的立場。
表揚 , 在公開場合稱讚或頒獎給在競爭中表現傑出的後述對象。
表明 , 用言語或行為明確傳達情感或態度。
表明 , 顯示事物所表達的推論意義。
表 , 普通名詞。供人學習的對象。
表 , 普通名詞。可隨身攜帶的計時器具。常用接尾詞。
表 , 普通名詞。填寫的文件。
表 , 普通名詞。外在的現象。
表 , 普通名詞。接頭詞。後接非同宗的親屬。
表 , 普通名詞。有文字或圖案的紀念石碑，通常指墓誌。
表 , 普通名詞。測量的工具。常用接尾詞。
表 , 普通名詞。表格。「表格」的簡省。
表決 , 以投票方式做出決定。
表演 , 事件名詞。表演藝術的一次呈現。
表演 , 將表演藝術呈現給觀眾。
表演 , 比喻進行會引人注意的特定事件。
表現 , 以後述言語或行為顯露出特定人格特質。常用「表現在------」。
表現 , 以特定媒介表現出後述對象，通常用於作品或概念。
表現 , 在他人面前刻意展現自己的特色。
表現 , 執行特定事件。
表現 , 普通名詞。具體表現出的外在舉止動作。
表現 , 普通名詞。執行特定事件的結果。
表現 , 普通名詞。比喻前述對象的銷售或營利的結果。
表現 , 普通名詞。特定對象顯露出來的特定特質。
表現 , 普通名詞。疾病可被觀察的徵狀。
表現 , 比喻前述對象的銷售或營利得到後述成績。
表現 , 比喻顯露出後述思想或概念。
表現 , 顯露出言語或行為。
表 , 用言語或行為傳達情感或態度。
表 , 用證據來斷定事物的真實性。
表示 , 以事物表達約定的意義。
表示 , 引述說話者的話或陳述說話者說過的訊息。
表示 , 用言語或行為傳達情感或態度。
表示 , 顯示事物所表達的推論意義。
表述 , 用言語宣示立場。
表述 , 表達與描述，不限於使用語言。
表達 , 以符號代表約定的意義。
表達出來 , 以符號代表出約定的意義。
表達出來 , 創造過程中以其他媒介表現出所描述對象的特質。
表達出來 , 用言語或行為傳達出特定情感或態度。
表達 , 創造過程中以其他媒介表現所描述對象的特質。
表達式 , 普通名詞。用代表約定意義的符號組合成的運算公式。
表達 , 引述說話者的話或陳述說話者說過的訊息。
表達 , 用言語或行為傳達情感或態度。
表達給 , 用言語或行為把情感或態度傳達到後述對象。
表露無遺 , 形容用言語或行為將情感或態度完全傳達出來，沒有遺漏。
表露無遺 , 形容用非語言的方式將特性完全呈現出來，沒有遺漏。
表露 , 陳述他人用言語或行為傳達的情感或態度。
表露 , 陳述他人用非語言的方式呈現特性。
表面 , 普通名詞。可隨身攜帶的計時器具上顯示時間的面。
表面 , 普通名詞。測量工具上顯示測量度數的面。
表面 , 普通名詞。物體與外界接觸的部份。
表面 , 普通名詞。特定對象所呈現的可被觀察的現象，通常隱含與事實有差距。
衫 , 普通名詞。專指用來穿在上半身，有遮蔽或禦寒身體功能的製品。常用接尾詞。
衰 , 形容少而不熱烈。
衰 , 形容狀態處在負面發展的。
衰 , 形容運氣不好。
衰 , 形容體力或身體狀況差的。
衰 , 普通名詞。處於親屬喪事期間所穿著的服飾。
衰竭 , 形容生理機能衰退耗弱。
衰竭 , 形容經濟成長動力下滑。
衲 , 普通名詞。僧人所穿著的衣服。常用接尾詞。
衲 , 普通名詞。出家修行的男性佛教徒。
衲 , 用線將原來沒有連在一起的物品或有裂痕的物體接補起來。
衷心 , 表出自於內心。
袁 , 專有名詞。姓。
袋 , 形容動物有育兒囊的。
袋 , 普通名詞。因老化或疲憊而呈現浮腫的下眼皮。「眼袋」的簡省。
袋 , 普通名詞。成袋物品的單位。
袋 , 普通名詞。有單一開口的容器，通常以薄而輕的材質製成。常用接尾詞。
袋 , 普通名詞。有袋動物的育兒囊。
袋 , 計算成袋物品的單位。
袍 , 普通名詞。前襟在胸前交疊、過臀的長外衣。
袒護 , d
袒護 , test
袖 , 普通名詞。接尾詞。比喻上臂下方的贅肉。
袖 , 普通名詞。穿著時會覆蓋到手臂的衣服部份。常用接尾詞。
被 , 引介施事者。
被 , 普通名詞。棉被。
被迫 , 遭受逼迫。
被 , 遮蓋、覆蓋。
裁 , 將特定布料製成後述衣物。
裁 , 有權力的機構或人經過特定程序做出決定。
裁 , 特定企業或組織解雇員工，通常因為人事縮編。
裁 , 用工具把特定物體割成特定形狀。
裁 , 計算紙張大小尺寸的單位。全開尺寸等於109公分乘以78公分。
裂 , 撞擊後述對象表面使其出現細縫。
裂 , 普通名詞。特定動物器官的類似裂縫的開口。
裂 , 普通名詞。葉子或花冠邊緣的缺口。
裂 , 比喻古代君主將土地分配給臣子。
裂 , 物體表面因受外力影響而出現不影響其完整性的縫。
裏 , 位置詞。事物內部不屬於表面的範圍。
裏 , 位置詞。在前述對象所包含的空間範圍。
裏 , 位置詞。在前述的機構或領域範圍。
裏 , 在前述的時間範圍內。
裔 , 專有名詞。姓。
裔 , 普通名詞。人類代代繁衍出的子孫。
裔 , 普通名詞。偏遠的地區。
裔 , 普通名詞。接尾詞。具有前述血統的人。
裕隆 , 專有名詞。臺灣國產汽車公司之一，創辦人為嚴慶齡先生。
裕隆 , 專有名詞。臺灣籃球隊之一，由裕隆公司所資助。
裕隆 , 普通名詞。裕隆公司所生產的汽車。
裘 , 專有名詞。姓。　
裘 , 普通名詞。用動物的毛皮所製成的衣服。常用接尾詞。
補 , 代動詞。在特定事件應完成的時間之後完成特定事件。
補 , 以營養物增加身體機能或使其回到正常狀態。
補 , 修復有破洞的特定對象。
補償 , 抵銷因外力影響或所有權轉移而產生差額的損失。
補償 , 普通名詞。作為抵銷損失的金額或等值的物品。
補償 , 補充不足的部份，用於聲音、光線、色彩等。
補充 , 針對後述對象不足的部分提供所需。
補助 , 普通名詞。補助的費用。
補助 , 組織或單位以金錢或物資幫助，通常指上對下。
補 , 在已有後述對象的表面上增加更多的後述對象。
補 , 在正規學校系統之外，學習特定知識或技能。
補 , 增加不同的光源。
補 , 增加更多原有的貨品。
補妝 , 修補化過的妝。
補 , 專有名詞。姓。
補 , 形容比喻對達成特定目標很有幫助的。
補 , 形容用來修補特定對象的。
補 , 形容能增加身體機能或使其回到正常狀態的。
補 , 抵銷因外力影響或所有權轉移而產生差額的損失。
補 , 普通名詞。接尾詞。在正文正刊後增加內容的出版品。
補 , 比喻主事者做出修復造成人心理傷害的行為。
補粧 , 修補化過的妝。
補給 , 普通名詞。補充、供給所不足的物品。
補給 , 普通名詞。補充、供給軍隊所需的物品。
補給 , 補充、供給不足物品。
補給 , 補充、供給軍隊作戰時所需物資。
補習 , 在正規學校系統之外，學習特定知識或技能。
補 , 表在特定事件應進行的時間過後才進行特定事件。
補貼 , 幫助金錢上不足的部份。
補貼 , 普通名詞。補貼的費用。
補 , 針對固定職缺聘用人選。
補 , 針對後述對象不足的部分提供所需。
裝作 , 故意做出特定動作或姿態來掩飾真相。
裝做 , 故意做出特定動作或姿態來掩飾真相。
裝 , 安裝。
裝 , 容器容納事物或容器所能容納事物的量。
裝 , 把物品放進後述容器。
裝 , 故意做出特定動作或姿態來掩飾真相。
裝 , 普通名詞。接尾詞。包裝的規格。
裝 , 普通名詞。接尾詞。服裝。
裝箱 , 將分箱包裝以利運送或存放。
裝箱 , 普通名詞。箱子的容量或內容物。
裝飾品 , 擺放於開放空間，增加美觀的物品。
裝飾品 , 配戴於身上用以增加美觀的物品。
裡 , 位置詞。事物內部不屬於表面的範圍。
裡 , 位置詞。在前述對象所包含的空間範圍。
裡 , 位置詞。在前述的機構或領域範圍。
裡 , 在前述的時間範圍內。
裡面 , 位置詞。事物內部不屬於表面的範圍。
裡面 , 位置詞。在前述對象所包含的空間範圍。
裡面 , 位置詞。在前述的機構或領域範圍。
裡面 , 在前述的時間範圍內。
裡面 , 形容比預期中的位置更往內的。
裡頭 , 位置詞。事物內部不屬於表面的範圍。
裡頭 , 位置詞。在前述對象所包含的空間範圍。
裡頭 , 位置詞。在前述時間範圍內。
裡頭 , 位置詞。在前述的機構或領域範圍。
裴 , 專有名詞。姓。
製 , 以特定原料或材料做成成品，通常是規模大、數量多。
製成 , 前述對象所完成文件、線條或圖表製作的是後述對象。
製成 , 前述對象所製造完成的是後述對象。
製 , 整理資料並以後述方式呈現。
製 , 物品為前述國家製造的。
製 , 物品為前述材質製造的。
製藥 , 普通名詞。從事製藥工作的公司集團的名稱。「製藥公司」的簡省。
製藥 , 製造藥物。
製造 , 以人為方式造成特定氣氛或局面。
製造 , 以特定原料或材料做成成品，通常是規模大、數量多。
複製 , 依原本樣式，仿造後述對象。
複製 , 從其他的對象抽取細胞核以製造一個與原本相同的對象。
複賽 , 普通名詞。在初賽後，決賽前所進行的比賽。
複雜 , 形容結構複雜，較不容易掌握的。
褐 , 專有名詞。姓。
褐 , 形容顏色為褐色，像樹皮、泥土的顏色的。
褐 , 普通名詞。像樹皮、泥土的顏色。
褒 , 形容衣物寬大的。
褒 , 給予特定對象正面評價。
褚 , 專有名詞。姓。
褪 , 前述程度降低。
褪 , 動物的毛髮或皮膚自然脫落。
褪 , 去除物體表面的特定部分，通常是附著在物體表面的物質或物體的表層。
褪 , 失去原來的色澤。
褪 , 比喻除去特定特質。
褪 , 特定對象不再存在或逐漸消失。
褪 , 症狀減輕，常用於發燒。
褪 , 除去身體上的衣物、配件。
褲子 , 普通名詞。用來穿在下半身，可供兩條腿分別穿過的衣服。
襪 , 形容以襪為材料製成的。
襪 , 普通名詞。以襪為形象製造的人造物。
襪 , 普通名詞。穿在腳上，用柔軟的紡織品製成的衣物，通常用來保護或保暖腳部。常用接尾詞。
襯 , 將特定對象跟與其並存的其他對象對照，使其變得明顯。
襯 , 將特定物體填補在特定主體的周圍空間內。
襯 , 普通名詞。墊在衣物內側的紡織品。常用接尾詞。
襯 , 普通名詞。用來穿在最內層的衣服。
西 , 位置詞。不確定的位置。常用「東…西…」。
西 , 位置詞。指南針指向270度的方位。
西北 , 位置詞。指南針指向西方與北方中間的方位，315度。
西北 , 位置詞。空間範圍內西北邊的區域。
西區 , 地方詞。空間範圍內西邊的區域。
西區 , 普通名詞。位於西邊的相關機構。
西南 , 位置詞。指南針指向西方與南方中間的方位，225度。
西南 , 位置詞。空間範圍內西南邊的區域。
西 , 地方詞。國名，南歐伊比利半島上最大的國家。「西班牙」的簡省。
西 , 專有名詞。姓。
西 , 專有名詞。治理西班牙的政府。「西班牙」的縮寫。
